LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA15050,173,1787,1382,27250,630,31222,0,11,3,185,5,204,300,23,22,93,6,444,58,16,4,13,0,91,311,113,89,283,14,810,2346,1736,1240,22621,614,28557,253,11,82,7,13,366,59,12,8,141,0,220,431,199,149,2339,63,3181,56,42,7,111,0,216,48,24,14,37,3,126,247,13,0,23,3,286,435,300,214,6243,125,7317,202,96,35,461,14,808,29,0,6,12,0,47,21,16,0,33,0,70,22,10,3,24,0,59,52,29,21,60,0,162,116,46,28,24,8,222,158,106,67,58,13,402,348,55,40,224,11,678,61,12,11,36,0,120,48,5,7,4,0,64,638,459,338,4844,89,6368,35,0,8,5,0,48,145,11,14,3,3,176,63,8,5,72,4,152,10,7,4,5,0,26,15,0,0,3,0,18,111,64,34,251,8,468,1025,295,212,528,39,2099,125,57,59,1308,2454,4003,6601,3418,2489,51211,3763,67482,245,2277
LGA15240,205,2448,1728,32481,1017,37879,0,15,0,669,26,710,198,31,25,165,19,438,69,12,11,21,0,113,578,151,82,214,7,1032,4494,2437,1745,28174,967,37817,180,4,44,4,5,237,109,37,28,202,7,383,590,187,147,2228,53,3205,98,51,5,110,7,271,61,28,10,25,0,124,99,9,13,24,3,148,705,446,289,7546,197,9183,299,145,36,682,31,1193,21,0,0,0,0,21,29,17,3,69,0,118,7,0,0,3,0,10,193,62,23,134,8,420,90,34,21,39,5,189,214,131,69,42,9,465,165,34,14,78,9,300,63,7,8,29,3,110,13,9,8,0,0,30,1013,652,399,6402,160,8626,28,0,0,8,0,36,98,22,9,8,0,137,60,10,7,70,6,153,21,0,0,0,0,21,27,0,0,0,3,30,144,60,37,229,10,480,1180,315,221,695,58,2469,185,95,69,1757,3837,5943,9452,4657,3132,62701,5910,85852,279,2676
LGA15270,58,516,459,8807,213,10053,0,0,0,65,3,68,56,13,6,59,4,138,21,4,4,8,0,37,127,46,45,63,8,289,982,520,442,7418,248,9610,53,6,18,4,0,81,24,8,0,40,0,72,167,42,46,661,22,938,42,18,3,31,5,99,22,3,4,5,0,34,15,0,8,5,0,28,166,121,63,2266,77,2693,93,49,13,165,7,327,0,0,4,0,0,4,8,0,0,10,0,18,0,0,0,0,0,0,48,19,15,48,0,130,26,19,9,15,5,74,54,35,18,19,3,129,47,17,4,37,0,105,16,5,4,18,0,43,5,4,0,0,8,17,217,135,107,1547,43,2049,5,0,0,0,0,5,18,7,0,0,0,25,17,5,6,12,0,40,3,0,0,0,0,3,23,0,0,0,0,23,27,10,12,47,0,96,321,59,36,146,11,573,63,34,15,495,1127,1734,2298,1026,817,16560,1624,22325,85,618
LGA15300,12,178,179,5262,168,5799,0,7,6,942,9,964,36,6,0,36,4,82,9,0,0,5,0,14,35,20,13,12,0,80,210,173,155,4164,150,4852,23,0,6,0,4,33,12,0,4,37,0,53,29,18,8,386,4,445,13,0,0,12,0,25,10,0,0,4,0,14,43,0,4,3,0,50,58,39,37,1295,34,1463,16,7,0,84,0,107,7,0,0,0,0,7,3,11,0,12,0,26,0,0,0,0,0,0,0,0,4,4,0,8,12,8,3,7,0,30,12,8,9,4,0,33,13,7,0,4,0,24,9,0,3,0,0,12,3,0,0,0,0,3,66,39,40,895,21,1061,20,0,0,0,3,23,20,7,0,0,0,27,5,0,5,8,0,18,0,0,0,0,0,0,4,0,0,0,0,4,10,3,10,38,0,61,143,36,22,80,6,287,18,5,10,347,1039,1419,711,367,327,10658,1368,13431,21,163
LGA15350,196,1215,917,5262,114,7704,0,0,0,0,0,0,692,40,44,59,10,845,103,12,8,34,0,157,271,69,30,48,0,418,3798,1091,815,4996,156,10856,155,0,11,0,0,166,240,39,18,75,8,380,518,86,50,429,12,1095,209,62,36,143,15,465,126,27,5,18,0,176,273,13,8,0,9,303,795,271,208,2364,48,3686,442,128,46,269,4,889,99,4,10,3,4,120,70,16,14,39,0,139,24,3,0,0,0,27,49,9,4,20,0,82,25,0,4,4,0,33,323,73,56,24,3,479,184,25,27,27,3,266,117,12,12,28,0,169,3,0,3,0,0,6,877,254,209,1727,40,3107,52,0,0,0,0,52,292,25,20,3,6,346,95,15,8,3,3,124,49,0,3,0,7,59,49,0,0,0,0,49,117,28,9,70,4,228,2024,248,196,215,32,2715,89,26,26,138,1822,2101,10084,2265,1674,11242,2191,27456,206,1292
LGA15520,22,187,194,4223,108,4734,0,0,0,94,0,94,22,0,0,16,0,38,6,0,0,0,0,6,67,17,10,42,0,136,336,222,178,3614,106,4456,25,0,10,0,0,35,7,0,0,23,0,30,50,22,9,375,4,460,12,4,0,10,0,26,7,0,0,0,0,7,15,0,0,0,0,15,46,37,28,1163,29,1303,69,25,0,178,9,281,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,16,3,3,3,0,25,16,4,7,3,0,30,19,3,4,13,0,39,11,0,0,4,0,15,3,0,0,0,0,3,117,61,51,976,21,1226,0,0,0,0,0,0,11,3,0,0,0,14,11,0,0,15,0,26,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,40,0,58,91,19,19,70,3,202,27,6,15,241,497,786,893,401,332,8588,715,10929,17,213
LGA15560,4,69,53,1613,44,1783,0,0,0,25,3,28,8,0,0,5,4,17,0,0,0,0,0,0,18,5,3,9,0,35,86,72,44,1178,42,1422,18,0,0,0,0,18,4,0,0,12,0,16,10,11,6,112,4,143,3,4,0,5,0,12,4,0,0,0,0,4,18,0,0,0,0,18,12,9,7,450,10,488,30,18,5,78,4,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,3,7,11,4,3,0,0,18,4,0,0,3,0,7,3,0,0,3,0,6,0,0,0,0,0,0,40,11,19,331,0,401,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,22,4,10,19,3,58,4,4,4,96,180,288,275,141,97,2969,270,3752,11,66
LGA15650,29,356,285,6605,146,7421,0,0,0,57,0,57,56,5,4,23,4,92,0,0,0,0,0,0,61,32,26,52,0,171,480,338,209,5036,174,6237,50,0,18,3,0,71,11,4,0,23,6,44,64,34,17,475,6,596,15,4,0,23,0,42,13,3,0,4,0,20,26,0,0,3,0,29,136,74,31,1380,39,1660,37,21,9,111,8,186,5,0,0,0,0,5,9,4,0,8,0,21,0,0,0,0,0,0,17,9,7,23,0,56,41,8,4,16,0,69,63,20,24,11,3,121,22,7,6,23,0,58,0,0,0,8,0,8,0,6,0,0,0,6,122,82,53,1084,20,1361,7,3,0,0,0,10,34,0,0,0,0,34,7,4,0,18,0,29,10,0,0,0,0,10,0,0,0,0,0,0,15,13,8,42,0,78,240,44,53,88,13,438,33,12,9,379,1141,1574,1319,668,473,11855,1481,15796,44,362
LGA15700,51,528,404,7054,191,8228,0,3,15,307,20,345,33,3,10,35,6,87,17,5,0,4,0,26,120,38,17,49,6,230,1140,531,386,5792,190,8039,28,0,14,4,0,46,28,13,5,48,0,94,138,40,34,513,9,734,20,11,0,30,0,61,20,9,8,8,0,45,19,5,12,7,5,48,156,101,66,1768,57,2148,73,32,7,145,3,260,0,0,0,0,0,0,10,10,0,11,0,31,3,0,0,3,0,6,22,15,5,22,0,64,24,11,9,27,0,71,44,21,20,10,3,98,36,7,3,25,0,71,9,4,0,4,0,17,7,0,0,3,0,10,229,131,111,1431,48,1950,6,0,0,0,0,6,17,3,8,7,0,35,18,3,3,17,0,41,4,0,0,0,0,4,3,0,0,0,0,3,28,3,8,48,0,87,285,80,52,162,13,592,31,22,25,430,694,1202,2175,1009,756,13579,1122,18641,81,607
LGA15750,26,206,194,6167,169,6762,0,0,3,63,5,71,33,6,9,29,0,77,0,0,0,0,0,0,39,20,4,40,0,103,194,191,170,4138,159,4852,33,3,0,0,0,36,3,0,0,23,0,26,47,27,11,391,10,486,7,6,0,13,0,26,0,0,0,3,0,3,10,0,0,3,0,13,48,33,24,1158,31,1294,19,4,0,39,0,62,0,0,0,0,0,0,4,0,0,11,0,15,0,0,0,0,0,0,5,0,0,16,0,21,10,3,0,4,0,17,19,20,11,3,0,53,0,3,4,9,0,16,0,0,0,3,0,3,0,0,0,0,0,0,64,51,29,929,22,1095,3,3,0,0,0,6,17,0,0,0,0,17,9,5,3,13,0,30,3,0,0,0,0,3,0,3,0,0,0,3,13,0,4,21,3,41,114,29,13,69,8,233,20,7,0,353,678,1058,613,385,302,10611,1018,12929,24,230
LGA15800,8,118,60,2584,82,2852,0,0,0,44,4,48,19,0,3,24,0,46,4,0,0,5,0,9,22,7,0,17,0,46,116,100,61,1886,61,2224,9,0,3,0,0,12,3,0,0,8,0,11,22,15,7,230,6,280,9,0,0,9,0,18,4,0,0,0,0,4,11,0,0,0,0,11,15,25,11,665,23,739,30,20,0,110,6,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,13,7,0,3,0,0,10,11,0,0,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,35,27,20,455,12,549,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,59,29,7,31,4,130,9,0,3,146,342,500,361,224,108,4709,509,5911,7,104
LGA15850,3,133,75,3097,48,3356,0,0,0,91,0,91,17,0,0,13,0,30,6,0,0,0,0,6,20,5,3,3,0,31,117,121,86,2210,74,2608,3,0,0,0,0,3,0,0,0,16,0,16,24,8,14,179,4,229,0,0,0,11,0,11,0,0,0,0,0,0,9,0,0,3,0,12,28,19,9,647,11,714,12,9,0,40,0,61,0,0,0,0,0,0,4,0,5,8,0,17,0,0,0,0,0,0,7,0,0,12,0,19,7,8,6,8,0,29,8,8,0,8,0,24,5,0,0,3,0,8,4,0,4,0,0,8,0,0,0,0,0,0,40,22,15,472,18,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,0,0,17,0,24,50,12,9,41,9,121,8,0,0,182,293,483,310,220,139,5484,433,6586,8,133
LGA15900,515,4801,3427,50305,1338,60386,0,20,15,437,18,490,1722,104,110,283,33,2252,386,75,19,92,18,590,578,301,205,586,32,1702,5463,4404,2958,43932,1265,58022,656,18,199,16,10,899,163,68,41,324,13,609,1000,482,290,3940,102,5814,812,199,67,526,37,1641,148,60,17,49,0,274,842,37,29,36,10,954,1203,946,610,14681,306,17746,1474,465,155,1532,83,3709,419,7,12,20,14,472,91,33,8,103,4,239,1207,161,43,257,49,1717,96,62,31,121,0,310,262,84,62,46,15,469,364,229,217,107,31,948,778,164,121,423,35,1521,200,37,39,90,9,375,139,54,14,16,15,238,1709,1264,880,11797,256,15906,253,21,15,36,9,334,230,55,36,7,0,328,239,39,20,114,3,415,133,13,9,16,6,177,219,22,11,0,7,259,276,183,94,877,20,1450,5118,964,624,1450,172,8328,431,159,119,2353,6867,9929,23385,9485,6376,99344,9947,148537,620,5095
LGA15950,405,2301,1796,10112,235,14849,0,0,0,16,0,16,4126,149,199,159,72,4705,194,30,15,47,5,291,447,151,68,141,10,817,7104,2054,1521,10074,294,21047,524,14,42,5,6,591,518,70,52,140,8,788,986,217,151,957,13,2324,343,101,45,179,7,675,259,49,30,43,3,384,1261,43,21,10,17,1352,1731,583,400,5004,101,7819,783,262,103,480,18,1646,541,10,12,12,10,585,136,30,18,60,5,249,83,7,3,4,0,97,91,41,26,41,0,199,125,8,6,7,0,146,664,89,86,27,12,878,438,59,37,90,9,633,389,36,41,44,3,513,17,0,0,0,0,17,1637,534,425,3535,78,6209,111,11,4,11,0,137,523,31,26,3,8,591,310,16,22,33,6,387,206,10,9,9,5,239,192,3,7,0,3,205,222,54,34,180,0,490,6456,532,515,527,87,8117,229,43,31,232,5119,5654,26327,4484,3356,22206,5919,62292,413,2494
LGA15990,1880,11311,8743,55391,1484,78809,0,6,0,76,3,85,5118,254,364,476,117,6329,1213,198,88,310,40,1849,2587,727,442,783,64,4603,30743,9848,7091,45187,1650,94519,1517,39,194,20,48,1818,1388,249,174,593,49,2453,3765,815,548,3542,148,8818,1222,334,146,719,30,2451,592,144,53,121,16,926,1615,98,60,62,36,1871,5750,2233,1589,17589,425,27586,5501,1331,539,2999,230,10600,933,10,25,14,33,1015,361,117,58,173,14,723,154,18,17,23,4,216,356,122,83,167,7,735,738,134,54,30,37,993,2128,584,478,196,49,3435,999,176,111,226,29,1541,638,83,75,153,13,962,187,29,16,6,8,246,6148,2292,1709,12944,297,23390,1218,93,43,92,32,1478,1963,223,135,44,30,2395,893,75,77,160,19,1224,155,49,26,18,0,248,389,11,34,4,7,445,1091,230,160,560,37,2078,15717,2364,2015,1992,394,22482,1099,223,225,1696,9578,12821,81801,20729,15169,106209,13724,237632,2205,12431
LGA16100,11,139,113,1990,44,2297,0,0,0,16,0,16,8,0,0,8,0,16,3,3,3,0,0,9,29,19,10,19,0,77,223,130,103,1460,42,1958,13,0,0,0,0,13,0,0,0,5,0,5,32,10,3,82,5,132,11,3,0,8,0,22,6,0,0,0,0,6,0,0,0,0,0,0,33,35,13,658,18,757,29,9,4,47,0,89,0,0,0,0,0,0,4,0,0,4,0,8,0,0,0,0,0,0,8,4,0,8,0,20,59,3,5,3,0,70,13,12,10,0,0,35,15,5,0,6,0,26,11,0,4,0,0,15,0,0,0,0,0,0,49,32,9,347,10,447,10,3,0,8,0,21,13,3,3,0,0,19,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,16,105,23,15,35,5,183,16,0,5,106,279,406,590,256,175,3634,383,5038,12,141
LGA16150,97,988,674,14735,416,16910,0,7,4,156,14,181,194,17,14,98,5,328,65,29,4,25,0,123,195,65,46,171,4,481,1074,916,642,12120,384,15136,136,4,23,3,4,170,29,8,4,102,3,146,212,97,60,1012,31,1412,88,26,7,37,4,162,42,12,4,12,0,70,158,5,3,7,3,176,251,184,109,4267,122,4933,235,90,35,437,28,825,37,7,0,0,0,44,33,17,0,37,0,87,14,8,4,5,0,31,19,10,3,36,3,71,80,40,3,17,7,147,89,44,56,28,12,229,110,19,16,66,0,211,99,12,7,37,0,155,3,5,0,0,0,8,294,226,161,2706,75,3462,17,0,0,8,0,25,70,8,9,3,0,90,43,5,10,23,0,81,27,0,0,0,0,27,14,0,0,0,6,20,44,10,12,119,4,189,1011,166,78,306,41,1602,99,40,16,800,1866,2821,4140,1890,1197,28055,2782,38064,93,1006
LGA16200,34,284,235,6194,182,6929,0,5,3,85,20,113,38,0,0,27,0,65,3,4,0,0,0,7,58,16,10,51,0,135,292,274,193,5020,163,5942,54,0,4,4,0,62,4,4,0,34,0,42,45,31,12,446,11,545,6,0,0,12,0,18,6,3,0,9,0,18,18,0,0,0,0,18,77,52,25,1556,40,1750,26,16,15,85,5,147,4,0,4,0,0,8,17,0,0,21,0,38,0,0,0,0,0,0,3,4,0,18,0,25,8,0,0,3,0,11,25,14,12,13,3,67,25,4,6,16,0,51,9,0,0,0,0,9,0,6,0,0,0,6,80,70,51,994,27,1222,0,0,0,0,0,0,16,0,0,0,0,16,3,3,0,13,0,19,13,0,3,0,0,16,0,0,0,0,0,0,7,7,6,35,0,55,157,34,20,97,18,326,16,9,16,372,844,1257,886,522,384,11586,1218,14596,33,292
LGA16260,1892,4601,3475,27411,999,38378,0,22,6,150,10,188,31125,294,459,363,548,32789,798,101,43,120,18,1080,712,218,130,269,20,1349,8929,3639,2540,21365,773,37246,3120,42,231,35,69,3497,377,72,39,201,7,696,1238,308,220,1771,55,3592,1453,211,119,575,47,2405,377,64,27,53,13,534,16801,103,88,47,259,17298,1870,972,665,8670,215,12392,2542,800,354,1616,113,5425,8006,11,69,29,156,8271,5088,867,425,1095,189,7664,129,10,17,17,5,178,773,189,95,322,34,1413,663,64,54,29,23,833,727,224,160,61,26,1198,979,89,59,125,23,1275,663,53,36,96,3,851,352,49,29,0,32,462,1897,906,650,6120,140,9713,541,30,17,33,13,634,525,43,40,9,7,624,869,56,47,96,14,1082,1752,43,11,20,47,1873,1039,16,39,4,22,1120,207,93,41,285,11,637,21739,1220,986,1084,527,25556,1765,140,107,833,10503,13348,110180,9766,6952,52845,14282,194025,2941,4733
LGA16350,1512,7093,4702,52557,1541,67405,0,40,35,510,34,619,1767,104,107,259,51,2288,1331,195,72,281,42,1921,1344,444,302,839,57,2986,11539,5871,4058,35543,1470,58481,3826,112,262,51,105,4356,279,86,35,329,14,743,1730,543,347,2816,95,5531,1138,253,110,578,69,2148,565,77,31,91,25,789,3068,115,57,61,73,3374,2608,1232,802,10730,312,15684,2555,926,339,2366,128,6314,172,3,20,0,0,195,1163,237,103,194,63,1760,205,36,10,44,9,304,3263,867,452,2206,106,6894,1008,172,96,95,58,1429,691,307,213,120,28,1359,1023,194,120,374,20,1731,266,54,37,108,7,472,968,128,35,11,56,1198,2818,1218,939,7075,237,12287,456,70,29,53,23,631,527,92,64,37,15,735,779,84,59,139,22,1083,592,17,29,13,18,669,278,20,18,9,10,335,353,121,53,369,15,911,11611,1419,823,1325,415,15593,1308,248,162,2056,7542,11316,53040,13810,8901,91105,11607,178463,1944,7900
LGA16380,237,2291,1721,26595,810,31654,0,11,0,232,17,260,178,23,30,114,9,354,79,22,6,18,0,125,529,149,90,261,17,1046,4854,2242,1642,22744,768,32250,155,8,57,0,12,232,104,42,19,228,4,397,526,193,107,1848,60,2734,83,29,3,117,4,236,89,29,7,43,5,173,137,11,9,21,9,187,782,508,329,7373,192,9184,274,147,46,568,17,1052,15,0,3,0,0,18,24,22,5,62,0,113,16,3,5,6,0,30,145,49,28,97,5,324,76,28,29,31,5,169,261,118,92,42,6,519,132,35,19,78,3,267,61,10,6,45,0,122,22,3,10,3,0,38,1112,479,427,5310,122,7450,20,0,6,8,0,34,154,25,17,6,4,206,59,22,16,89,4,190,18,6,0,3,0,27,46,0,0,0,4,50,142,57,20,172,8,399,1063,344,192,579,65,2243,129,61,51,1254,2802,4297,9648,4311,3064,51173,4499,72695,272,2585
LGA16400,197,2195,1663,23864,575,28494,0,3,3,253,6,265,178,30,16,90,4,318,153,38,0,57,3,251,462,137,92,239,12,942,3981,2062,1482,19593,683,27801,193,16,71,7,3,290,112,11,17,171,8,319,491,210,134,1770,38,2643,124,40,10,120,0,294,78,18,6,29,0,131,76,9,8,13,0,106,591,377,213,5516,127,6824,319,152,48,506,20,1045,31,0,0,0,0,31,17,21,6,26,0,70,37,0,6,8,0,51,139,49,20,98,9,315,130,44,9,17,0,200,200,107,94,46,10,457,211,35,32,92,0,370,78,17,6,40,0,141,25,16,4,0,6,51,924,503,364,4502,108,6401,25,8,0,0,0,33,130,13,22,6,0,171,70,15,4,50,4,143,19,13,3,9,0,44,32,0,0,0,0,32,215,73,27,198,11,524,1144,320,212,577,42,2295,141,61,44,1114,3098,4458,8792,4035,2821,44735,4421,64804,261,2344
LGA16490,284,1997,1440,16700,367,20788,0,6,6,146,4,162,417,22,35,125,10,609,380,76,19,101,27,603,371,125,107,244,14,861,3043,1615,1228,11979,368,18233,339,8,57,0,10,414,74,33,16,120,0,243,595,209,133,1308,27,2272,304,51,19,147,17,538,146,35,13,43,9,246,495,25,8,13,14,555,563,395,278,4901,95,6232,992,287,96,747,49,2171,48,4,3,0,0,55,43,16,9,43,0,111,909,123,39,137,16,1224,179,43,34,100,5,361,173,42,31,14,4,264,199,95,64,30,4,392,309,55,39,106,6,515,91,17,16,23,7,154,98,15,0,0,0,113,829,433,331,3197,66,4856,284,36,10,33,9,372,94,13,18,0,0,125,113,16,11,63,8,211,61,7,3,4,0,75,87,3,5,5,3,103,110,41,28,162,0,341,2243,351,296,483,55,3428,251,42,35,616,2462,3406,12040,3771,2630,30510,3395,52346,385,1995
LGA16550,1049,4078,3193,19729,644,28693,0,26,3,329,3,361,14379,249,321,304,262,15515,452,60,26,89,16,643,579,188,116,197,14,1094,9482,3034,2139,15087,720,30462,1062,28,143,6,36,1275,1112,100,73,219,30,1534,1527,328,213,1459,68,3595,4229,677,319,1651,157,7033,771,87,61,105,6,1030,1578,55,45,25,34,1737,4091,1049,723,8871,306,15040,2599,570,245,1298,82,4794,663,7,24,8,15,717,729,141,98,328,33,1329,73,15,0,12,0,100,681,144,76,240,15,1156,544,93,41,25,9,712,820,179,148,46,20,1213,1084,130,89,174,20,1497,1426,85,62,101,26,1700,123,20,6,3,6,158,2210,756,561,4459,132,8118,306,20,22,14,10,372,1146,108,61,14,15,1344,948,64,54,73,30,1169,292,19,16,8,6,341,618,11,34,7,15,685,342,70,51,224,20,707,14359,1353,939,1009,350,18010,876,121,84,685,9854,11620,61656,8471,6025,40513,12317,128982,1157,4360
