SA4_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
101,5205,76176,1651,90814,6,53,14,916,31,1020,1073,74,121,460,25,1753,731,122,47,276,14,1190,1628,483,349,912,32,3404,11854,6377,4880,63494,1530,88135,958,31,168,38,11,1206,424,88,68,568,18,1166,2376,728,552,5749,118,9523,629,158,60,472,11,1330,398,96,53,158,3,708,1396,50,34,67,16,1563,2327,1587,1044,23592,415,28965,1886,614,229,2225,70,5024,179,10,15,13,0,217,323,86,38,170,8,625,940,131,66,170,13,1320,457,151,64,388,20,1080,406,102,64,103,17,692,618,269,230,174,13,1304,734,137,93,342,19,1325,308,52,38,148,9,555,149,47,8,10,0,214,3050,1722,1273,16644,317,23006,410,56,53,72,11,602,274,82,48,40,0,444,355,41,39,156,14,605,143,14,20,18,0,195,215,10,6,10,0,241,498,169,92,669,18,1446,6572,1182,923,2134,144,10955,380,129,89,1883,15103,17584,34823,12695,9360,143350,18615,218843,1402,8007,6133,79469
102,9670,109392,2462,137134,6,77,38,1275,31,1427,2919,202,255,746,43,4165,526,155,83,276,5,1045,2102,661,399,1289,40,4491,24285,12727,8978,94021,2367,142378,1779,105,453,88,38,2463,792,172,132,890,24,2010,2606,950,599,6836,167,11158,1027,327,138,844,18,2354,484,132,50,179,9,854,1865,136,97,151,11,2260,5234,3056,1915,31466,579,42250,2718,1140,405,3863,113,8239,694,6,35,20,0,755,410,175,63,263,7,918,80,27,8,34,0,149,1399,411,209,1208,42,3269,1100,328,222,222,23,1895,1482,800,524,435,28,3269,931,225,139,451,17,1763,698,92,100,205,8,1103,236,113,25,22,5,401,5765,3112,2116,22434,474,33901,253,40,16,83,5,397,1018,181,140,94,9,1442,1074,99,73,371,9,1626,207,48,24,33,0,312,332,17,44,19,3,415,952,276,195,1053,19,2495,10087,2545,1766,3451,194,18043,570,184,148,2245,16532,19679,60470,24663,16945,203831,21829,327738,2182,15545,11233,107973
103,3642,82444,1848,93454,3,35,17,1248,29,1332,910,52,63,410,17,1452,204,56,18,90,3,371,954,347,221,789,25,2336,6479,4610,3480,67552,1701,83822,717,19,189,42,35,1002,184,61,38,504,5,792,1123,438,332,5437,142,7472,253,94,31,331,21,730,196,45,18,88,5,352,1027,44,20,42,11,1144,1289,1120,684,23040,422,26555,825,386,163,1836,34,3244,135,10,14,13,0,172,166,65,19,158,8,416,39,16,4,9,0,68,258,110,75,345,6,794,290,118,66,101,10,585,444,235,189,202,7,1077,394,104,50,263,10,821,177,37,39,105,4,362,61,31,0,17,4,113,1762,1213,899,15820,325,20019,93,13,17,35,4,162,299,43,48,28,6,424,206,18,12,132,7,375,114,11,6,23,5,159,191,4,18,7,0,220,257,122,77,581,18,1055,3828,820,510,1625,79,6862,252,74,69,2279,16455,19129,19363,8998,6469,151116,20207,206153,734,5539,4065,80153
104,2998,48606,1038,57431,5,39,14,1002,16,1076,548,72,67,267,8,962,92,23,9,52,4,180,926,284,156,463,12,1841,7164,3957,2883,42289,1099,57392,430,11,133,27,19,620,259,45,44,370,6,724,1128,349,264,4215,75,6031,132,89,15,211,8,455,156,30,20,66,0,272,1273,68,99,85,9,1534,1428,919,583,14240,276,17446,575,277,88,1446,39,2425,60,0,6,12,0,78,49,18,5,75,0,147,21,6,0,8,0,35,161,59,43,190,8,461,226,78,42,71,4,421,374,229,156,120,16,895,296,75,35,148,9,563,134,30,21,72,5,262,43,14,14,8,0,79,1697,1077,762,11528,205,15269,22,9,8,11,0,50,211,45,34,23,0,313,205,21,34,142,4,406,52,8,0,10,0,70,79,4,10,3,3,99,282,89,53,428,3,855,4095,750,580,1371,95,6891,253,78,46,1372,8990,10739,18617,7675,5469,93246,11283,136290,711,4681,3378,48127
105,1472,49476,1147,54462,5,42,10,2886,115,3058,425,22,35,300,10,792,97,16,15,54,0,182,339,117,94,326,6,882,2118,1837,1322,35558,963,41798,438,9,100,21,16,584,86,11,27,267,5,396,477,198,122,3128,68,3993,129,37,24,166,8,364,59,10,7,22,0,98,653,19,11,51,7,741,509,415,314,10951,192,12381,325,168,56,984,19,1552,70,3,0,4,0,77,66,20,12,78,3,179,17,0,0,5,0,22,126,79,31,217,8,461,154,54,43,69,0,320,140,113,77,82,9,421,121,28,30,115,3,297,50,10,17,27,0,104,24,4,5,5,0,38,618,485,363,8115,149,9730,66,5,4,12,0,87,113,16,8,15,7,159,55,11,3,68,6,143,126,10,14,0,3,153,77,7,11,0,5,100,80,38,26,242,4,390,1934,332,229,778,59,3332,116,38,31,1432,10267,11884,8240,3762,2669,86589,12521,113781,360,2101,1591,41840
106,5593,104666,1919,120559,9,61,22,1330,21,1443,1005,67,100,396,8,1576,265,51,19,148,7,490,1233,480,317,971,24,3025,10775,7117,5102,88350,1867,113211,1081,62,318,65,23,1549,314,75,42,559,19,1009,1629,769,481,8355,158,11392,302,133,37,435,6,913,210,61,41,115,5,432,954,65,22,77,17,1135,2212,1434,996,24641,427,29710,886,426,168,2194,50,3724,131,0,16,3,0,150,121,44,15,133,5,318,62,30,10,73,0,175,392,134,81,414,12,1033,570,177,110,178,17,1052,741,410,313,290,20,1774,816,167,113,700,16,1812,209,37,42,148,0,436,109,65,14,6,10,204,2988,2017,1388,21264,351,28008,84,15,11,27,4,141,465,63,67,78,5,678,308,53,22,275,7,665,88,22,12,16,0,138,203,11,14,6,4,238,522,224,121,1166,30,2063,4592,1152,888,2325,104,9061,275,126,80,2549,16913,19943,27415,13617,9658,191859,20868,263417,1144,8724,6695,110611
107,8610,82223,1698,106432,9,102,43,1069,17,1240,4979,119,189,462,52,5801,1609,269,154,493,36,2561,2210,710,453,1471,51,4895,19955,10799,8294,68018,1644,108710,1569,76,329,74,41,2089,595,113,121,688,16,1533,3562,1161,824,5865,163,11575,2123,466,248,1253,60,4150,657,126,57,243,17,1100,2241,81,63,88,21,2494,4013,2345,1725,23665,425,32173,7117,1800,865,5531,212,15525,427,14,21,21,5,488,1289,269,178,343,30,2109,6375,705,370,1312,110,8872,1593,471,237,1169,35,3505,765,180,153,145,26,1269,902,511,361,264,29,2067,1310,253,170,560,31,2324,423,53,65,180,14,735,178,77,23,19,6,303,5484,2856,2149,17672,310,28471,1773,199,112,252,32,2368,486,118,91,43,8,746,2003,272,193,547,47,3062,335,22,23,17,4,401,1267,48,51,41,13,1420,1183,352,259,982,31,2807,16982,2600,1985,3415,310,25292,735,145,104,1503,13339,15826,81598,22945,16681,154618,17655,293497,2976,13367,9875,85480
108,4459,80884,1961,94456,3,39,33,2164,63,2302,700,69,78,418,16,1281,175,35,19,79,0,308,1309,382,213,570,35,2509,11334,6213,4257,69023,1899,92726,657,14,192,30,25,918,318,90,64,575,15,1062,1514,486,367,5706,141,8214,226,118,33,323,12,712,208,73,19,93,12,405,565,44,30,58,4,701,2026,1289,799,20400,418,24932,788,395,138,1929,51,3301,96,0,7,3,0,106,87,53,26,185,6,357,34,6,0,19,0,59,432,133,81,439,17,1102,223,104,63,120,7,517,518,311,216,177,25,1247,408,95,55,208,15,781,175,33,27,88,0,323,43,18,14,6,0,81,2674,1517,1103,16182,362,21838,49,10,0,19,0,78,282,58,38,41,0,419,282,30,28,179,5,524,84,12,7,6,3,112,131,10,13,6,0,160,403,151,91,602,11,1258,3516,947,677,1760,177,7077,248,90,75,1974,13838,16225,24499,11463,7832,150384,18018,212196,1008,7248,5083,81270
109,1885,42502,886,48291,0,24,8,672,27,731,437,32,32,174,11,686,134,34,19,54,0,241,698,195,156,531,17,1597,3654,2545,1785,36383,830,45197,449,18,90,24,11,592,95,28,20,263,4,410,798,345,249,5718,109,7219,175,62,28,199,8,472,124,31,10,62,7,234,760,33,21,32,8,854,731,630,426,12792,200,14779,766,289,123,1759,46,2983,67,0,3,3,0,73,54,24,16,89,5,188,13,0,0,13,0,26,75,37,10,122,4,248,203,44,33,46,4,330,248,146,112,100,5,611,229,57,29,166,4,485,77,19,9,48,0,153,32,15,13,7,0,67,1000,643,452,10425,183,12703,77,3,0,26,0,106,131,13,15,14,3,176,108,19,11,102,0,240,137,6,9,4,0,156,58,0,12,7,3,80,141,59,28,288,15,531,2792,399,278,976,60,4505,202,59,29,1357,8403,10050,12443,5040,3515,84426,10378,115802,548,3091,2196,43200
110,2887,76504,1629,85195,8,32,15,2423,76,2554,1066,57,52,533,25,1733,49,31,6,32,0,118,633,217,141,532,13,1536,4701,3395,2526,59017,1501,71140,885,22,102,21,26,1056,185,56,46,405,15,707,872,373,248,6500,116,8109,123,49,13,179,8,372,108,20,15,50,0,193,687,20,24,51,8,790,948,764,538,18265,339,20854,352,204,81,1290,30,1957,231,0,10,4,6,251,77,40,13,159,3,292,9,12,0,4,0,25,115,52,22,155,5,349,265,74,62,93,9,503,300,192,141,158,11,802,159,44,28,161,8,400,108,27,20,78,0,233,25,12,7,7,0,51,1331,915,669,15360,296,18571,46,9,0,14,6,75,270,37,38,27,0,372,124,16,14,125,8,287,120,6,3,8,4,141,159,5,13,3,0,180,223,73,52,491,6,845,3597,577,510,1298,66,6048,186,53,43,2121,14091,16494,15101,6554,4862,137628,17413,181558,515,3744,3086,69344
