LGA_CODE_2021,LGA_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
51330,Canning,100,529,260,444,720,1655,1187,1668,1784,2245,2296,1880,1803,3829,2569,2344,1406,821,1356,973,689,191,2511,408,3588,37259
51400,Capel,18,59,39,62,105,285,196,335,286,373,411,347,303,767,539,473,263,151,215,154,98,27,683,101,808,7110
51470,Carnamah,0,0,0,3,13,22,11,17,15,20,26,16,15,22,12,9,0,0,6,3,0,0,27,9,107,371
51540,Carnarvon,18,41,35,53,72,173,125,244,235,271,236,121,171,285,173,141,89,44,87,43,37,27,157,169,709,3763
51610,Chapman Valley,6,3,3,5,3,21,20,25,27,35,31,20,29,55,57,39,21,16,22,12,11,4,62,15,157,694
51680,Chittering,8,23,14,18,25,84,50,95,122,111,114,84,91,201,151,158,100,41,91,63,33,15,243,43,443,2410
51710,Christmas Island,7,6,8,3,9,16,7,8,13,29,30,32,34,57,33,44,18,15,25,15,12,0,37,6,174,623
51750,Claremont,9,60,45,50,74,178,168,162,199,237,261,208,215,383,206,252,150,78,422,259,323,181,254,71,791,5251
51820,Cockburn,127,511,244,491,854,2059,1405,2062,2167,2643,2760,2448,2366,5326,3640,3399,2146,1129,1843,1355,878,192,3292,622,4458,48428
51860,Cocos Islands,0,0,0,0,0,0,0,11,3,3,9,4,7,13,15,11,7,3,5,0,5,0,19,8,60,204
51890,Collie,20,47,13,62,147,356,166,292,236,247,251,166,168,302,202,180,90,48,68,33,26,11,251,86,663,4121
51960,Coolgardie,0,21,9,20,38,88,37,64,52,61,51,61,54,170,57,81,35,31,70,34,18,9,102,46,595,1798
52030,Coorow,7,7,6,5,20,44,24,35,39,29,34,25,13,48,22,16,5,3,10,5,5,4,38,17,484,947
52100,Corrigin,3,9,0,5,8,33,23,26,35,22,35,23,16,50,33,17,10,8,10,0,5,0,31,6,96,508
52170,Cottesloe,8,41,22,32,52,76,68,83,104,127,111,89,124,244,120,168,108,48,379,234,338,219,222,46,552,3612
52240,Cranbrook,7,3,4,3,14,26,20,31,28,40,28,23,23,39,16,16,12,4,16,5,6,4,34,21,184,612
52310,Cuballing,3,0,0,7,8,51,11,23,28,32,24,19,31,25,18,23,6,4,7,6,0,0,46,7,117,488
52380,Cue,0,6,3,0,21,22,15,9,5,12,11,6,10,7,4,5,3,0,5,0,4,6,3,4,53,204
