SA3_CODE_2021,SA3_NAME_2021,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial income stated,All incomes not stated,Not applicable,Total
30102,Cleveland - Stradbroke,112,451,217,414,769,2330,1576,2372,2153,2367,2315,1723,1767,3748,2677,2271,1491,820,1261,943,740,257,1783,700,4360,39589
30103,Wynnum - Manly,77,265,122,243,482,1396,922,1251,1332,1665,1654,1365,1358,3150,2260,2148,1430,810,1384,1091,832,213,1233,386,1970,29037
30201,Bald Hills - Everton Park,38,149,82,122,179,607,548,684,736,952,1085,895,846,2097,1515,1404,924,540,898,703,524,156,789,183,1079,17742
30202,Chermside,77,313,181,350,671,1506,1252,1411,1615,1847,1948,1637,1584,3258,2181,2171,1458,843,1511,1084,887,207,1263,467,2616,32330
30203,Nundah,44,193,72,191,333,794,630,768,915,1139,1246,1051,1046,2243,1459,1325,885,469,815,583,415,78,709,220,1862,19494
30204,Sandgate,45,252,122,253,524,1457,1053,1251,1447,1652,1709,1305,1357,2777,1880,1629,1002,523,715,542,373,77,1064,417,1807,25239
30301,Carindale,41,201,112,169,299,857,629,825,894,1067,1173,921,934,2320,1536,1577,1203,668,1316,1081,1018,303,925,220,1383,21664
30302,Holland Park - Yeronga,85,369,177,410,770,1379,1169,1299,1576,2023,2216,1917,1863,3942,2270,2278,1525,928,1775,1267,1269,472,1412,370,3637,36395
30303,Mt Gravatt,69,540,208,354,509,1178,893,1221,1350,1721,1766,1519,1520,3337,2232,2083,1440,751,1236,889,672,190,1355,367,2369,29782
30304,Nathan,30,184,79,169,289,667,539,678,783,861,941,766,707,1605,1138,1090,829,481,733,550,484,145,681,153,1329,15926
30305,Rocklea - Acacia Ridge,61,332,138,188,309,761,605,1004,1193,1477,1633,1428,1427,3011,2120,1635,1018,580,677,477,276,83,1125,264,1746,23566
30306,Sunnybank,50,320,124,193,273,639,575,841,965,1164,1314,1022,981,1988,1354,1004,660,396,481,372,235,87,897,199,1492,17637
30401,Centenary,20,132,66,103,125,359,287,468,517,658,684,556,556,1344,971,977,737,418,744,566,417,132,546,91,652,12133
30402,Kenmore - Brookfield - Moggill,33,158,91,127,132,402,364,479,558,735,763,649,663,1536,1133,1261,943,609,1475,1164,1073,445,839,151,843,16625
30403,Sherwood - Indooroopilly,50,402,151,247,355,663,734,779,935,1301,1271,1142,1145,2279,1256,1299,807,458,1390,938,1007,420,1049,204,2238,22527
30404,The Gap - Enoggera,54,179,97,206,295,824,614,767,868,1104,1139,967,976,2116,1599,1629,1165,677,1225,918,739,166,938,181,1391,20836
30501,Brisbane Inner,94,1046,277,526,1017,1247,1323,1571,1897,2764,2907,2562,2441,5514,2311,2516,1388,749,2716,1156,1220,538,1703,617,10378,50490
30502,Brisbane Inner - East,31,168,81,176,266,526,449,485,654,892,923,810,857,1995,1169,1255,879,518,1491,1036,1230,472,854,171,1976,19359
30503,Brisbane Inner - North,80,610,243,401,733,1257,1350,1485,1967,2648,2993,2533,2466,5469,2615,2795,1860,1059,3117,1962,2208,1022,1822,499,6351,49547
30504,Brisbane Inner - West,52,326,142,224,330,657,661,732,981,1280,1334,1169,1129,2617,1359,1519,1093,653,1832,1473,1706,761,1264,213,2681,26198
30601,Cairns - North,74,281,116,191,396,896,815,1157,1298,1551,1637,1350,1300,2690,1746,1490,950,467,772,465,324,97,1474,312,3173,25028
30602,Cairns - South,166,459,215,560,1009,2189,1970,2343,2789,3188,3179,2418,2327,4311,2511,2003,1115,607,891,505,403,141,2426,993,7048,45751
30603,Innisfail - Cassowary Coast,97,197,147,233,417,1080,753,1264,1227,1163,1221,770,758,1285,750,549,297,116,204,122,79,60,856,582,3254,17487
30604,Port Douglas - Daintree,27,75,45,66,149,351,288,395,418,463,470,277,355,554,336,196,110,68,116,66,52,62,297,193,1501,6939
30605,Tablelands (East) - Kuranda,78,242,198,287,559,1377,970,1467,1339,1369,1266,880,857,1559,901,708,399,187,326,151,114,68,1198,784,3437,20727
30701,Darling Downs (West) - Maranoa,127,227,118,249,420,1166,735,1202,1159,1235,1284,966,965,1809,997,835,401,203,459,202,141,128,1360,591,5286,22274
30702,Darling Downs - East,117,199,131,190,386,1170,779,1266,1204,1312,1267,882,880,1596,1008,703,374,165,285,156,97,68,1064,509,3199,18997
30703,Granite Belt,100,220,168,261,465,1467,998,1650,1398,1381,1285,934,852,1439,776,527,305,128,239,117,79,63,928,520,3418,19709
30801,Central Highlands (Qld),48,115,66,138,202,462,308,512,507,647,609,553,517,1343,726,780,468,223,563,336,194,78,891,370,3809,14491
30803,Rockhampton,194,556,285,588,1073,2995,2045,3131,2990,3205,3176,2340,2344,4807,2966,2569,1522,836,1262,810,498,212,3736,1301,8212,53659
30804,Biloela,45,59,51,74,115,306,199,307,288,353,360,260,327,685,379,358,175,89,230,101,70,28,409,224,1743,7247
30805,Gladstone,113,359,166,336,618,1415,1133,1554,1440,1628,1638,1299,1268,2787,1658,1552,875,431,883,513,328,86,1725,631,5412,29868
30901,Broadbeach - Burleigh,95,410,171,275,592,1371,1216,1482,1649,1947,1963,1476,1473,3014,1854,1663,1016,572,1150,804,664,322,1378,601,7409,34571
30902,Coolangatta,80,264,158,248,534,1382,1082,1382,1453,1741,1755,1182,1286,2518,1644,1363,883,433,794,567,385,153,1235,490,4719,27738
30903,Gold Coast - North,133,491,231,352,776,2113,1844,2213,2236,2520,2359,1617,1562,2951,1722,1328,703,402,779,473,371,175,1274,670,4071,33370
30904,Gold Coast Hinterland,24,91,51,72,100,349,259,433,444,494,540,398,409,791,541,450,274,151,246,160,106,57,465,168,1089,8164
30905,Mudgeeraba - Tallebudgera,45,143,57,103,129,402,302,539,545,688,760,601,575,1352,1026,938,590,340,526,418,322,98,735,159,794,12187
30906,Nerang,89,279,141,224,405,1128,1025,1372,1445,1698,1824,1394,1510,2963,2069,1663,979,572,676,527,321,108,1403,493,1863,26182
30907,Ormeau - Oxenford,161,608,241,334,549,1457,1468,2441,2708,3330,3891,3302,3283,7216,4899,3713,2241,1261,1826,1298,877,341,3091,785,5029,56343
30908,Robina,64,399,125,227,345,921,785,1171,1212,1508,1542,1226,1260,2425,1606,1312,747,359,621,386,267,78,1085,323,1679,21664
30909,Southport,84,532,180,389,703,1612,1300,1647,1828,2042,2163,1560,1388,2686,1559,1244,710,388,596,379,289,103,1265,532,3612,28796
30910,Surfers Paradise,107,439,182,225,464,1013,973,1177,1370,1598,1548,1103,1080,1959,1011,879,486,288,827,480,402,258,879,464,8878,28086
31001,Forest Lake - Oxley,104,349,153,317,581,1487,1041,1504,1685,1931,2099,1690,1547,3055,1965,1467,895,483,610,403,224,57,1303,466,2365,27770
31002,Ipswich Hinterland,120,329,174,266,542,1635,1089,1878,1814,1894,1852,1428,1342,2615,1565,1194,641,349,440,293,164,77,1494,579,3653,27426
31003,Ipswich Inner,137,440,169,496,861,2437,2126,2760,3050,3365,3503,2696,2583,4995,3193,2508,1482,755,942,632,391,112,2127,781,4596,47148
31004,Springfield - Redbank,104,280,121,234,473,1087,1136,1630,1983,2520,2744,2397,2290,4802,3103,2372,1380,714,885,597,333,88,1871,461,3665,37273
31101,Beaudesert,37,72,33,92,135,429,371,501,456,474,459,313,284,504,287,216,103,53,71,46,42,28,325,149,1092,6577
31102,Beenleigh,63,192,94,214,403,991,990,1249,1333,1467,1431,1110,1021,2006,1175,769,442,229,237,155,102,27,818,414,2108,19035
31103,Browns Plains,98,323,138,233,487,1188,1224,1812,2069,2420,2801,2125,1985,3836,2439,1490,917,520,451,375,211,57,1735,492,3304,32722
31104,Jimboomba,65,167,74,99,191,463,449,875,867,1137,1279,1101,1139,2591,1943,1518,982,581,574,462,269,62,1220,316,1582,20016
31105,Loganlea - Carbrook,76,278,120,207,393,1020,1067,1408,1513,1611,1699,1348,1276,2595,1793,1380,830,490,545,436,266,86,1051,398,2367,24248
31106,Springwood - Kingston,109,382,160,347,635,1621,1310,1845,1986,2258,2215,1671,1478,2781,1878,1395,894,471,546,395,237,78,1361,552,3361,29960
31201,Bowen Basin - North,63,148,94,136,237,602,451,695,688,731,766,625,655,1624,775,993,475,269,800,375,285,118,915,489,5153,18168
31202,Mackay,177,551,275,527,903,2266,1687,2340,2272,2658,2678,2167,2356,4939,3278,3052,1844,997,1607,1129,719,246,4401,1150,8088,52308
31203,Whitsunday,42,125,49,118,156,376,393,596,611,660,658,501,514,1000,616,479,265,122,229,127,115,62,754,293,2034,10885
31301,Bribie - Beachmere,88,238,161,203,487,1538,1255,1832,1603,1544,1313,769,761,1188,716,528,305,161,275,142,95,48,753,470,2361,18862
31302,Caboolture,87,287,132,273,635,1551,1408,2054,2096,2374,2364,1780,1614,3107,1939,1309,754,404,459,308,172,66,1578,575,3049,30381
31303,Caboolture Hinterland,25,68,45,58,79,341,192,368,318,373,341,266,300,483,348,246,136,97,114,71,51,20,336,167,904,5739
31304,Narangba - Burpengary,79,227,107,177,402,1101,1224,1535,1550,1704,1824,1402,1392,2868,1989,1540,932,528,585,448,244,69,1386,377,1971,25659
31305,Redcliffe,101,317,191,393,823,2212,1666,1972,2008,2193,2039,1478,1298,2657,1547,1308,759,383,668,432,310,100,1261,602,3319,30037
31401,The Hills District,45,237,149,166,283,894,668,1059,1201,1659,1722,1494,1622,3605,2895,2886,1979,1150,1835,1411,1128,281,1617,268,1628,31886
31402,North Lakes,67,239,100,191,385,1091,1069,1598,1773,2247,2547,2095,2079,4313,2785,2180,1235,712,910,585,328,77,1557,423,2426,33013
31403,Strathpine,35,148,71,141,268,774,648,910,1012,1150,1242,1004,947,1936,1257,821,464,271,264,184,86,24,754,239,1143,15769
31501,Far North,85,144,95,261,325,700,451,718,708,861,833,614,595,1115,605,534,326,170,326,169,141,64,899,769,2945,14461
31502,Outback - North,57,197,72,218,282,506,354,604,639,777,833,641,666,1514,785,887,495,283,472,262,222,100,830,842,3503,16029
31503,Outback - South,70,115,77,108,235,649,371,592,605,643,688,437,429,789,447,347,179,75,205,70,64,70,614,462,2715,11068
31601,Buderim,55,216,131,217,345,1194,884,1336,1340,1490,1536,1159,1177,2408,1665,1312,839,490,737,582,424,151,1321,424,1831,23270
31602,Caloundra,126,441,247,399,746,2290,1843,2646,2594,2806,2886,2081,2055,4017,2668,2121,1309,733,1220,778,509,208,2103,711,6015,43541
31603,Maroochy,92,332,210,322,622,1608,1360,1832,1946,2201,2236,1549,1595,3048,1742,1375,782,435,871,532,397,177,1442,623,5641,32973
31605,Noosa,79,274,178,216,342,1073,850,1209,1214,1445,1527,1042,1082,1981,1216,1053,553,308,836,452,400,254,1006,435,4863,23898
31606,Sunshine Coast Hinterland,74,205,155,236,394,1153,891,1414,1391,1533,1677,1195,1241,2389,1636,1303,755,391,622,386,251,132,1414,389,2638,23861
31607,Nambour,77,215,90,200,382,1065,901,1196,1223,1466,1519,1022,1093,2200,1405,994,541,319,415,285,183,76,1117,392,1581,19960
31608,Noosa Hinterland,34,126,71,105,191,459,403,602,614,669,754,491,533,901,571,453,280,117,270,179,132,68,660,159,1379,10224
31701,Toowoomba,215,695,373,692,1315,3803,3044,4243,4262,4748,4860,3737,3540,6982,4278,3241,1916,1011,1579,948,636,271,3434,1155,7139,68130
31801,Charters Towers - Ayr - Ingham,94,216,152,279,535,1341,886,1448,1249,1293,1185,849,886,1607,981,732,368,175,308,169,100,79,1066,721,4089,20801
31802,Townsville,251,854,425,871,1485,3412,2964,4005,4355,5182,5451,4404,4295,8371,5641,4499,2681,1543,2102,1239,871,284,5176,1318,11767,83438
31901,Bundaberg,146,533,336,546,1123,3264,2359,3726,3231,3167,2965,2017,1885,3433,2001,1441,786,388,642,375,210,138,2000,1226,5409,43357
31902,Burnett,130,271,175,353,684,2112,1191,2014,1826,1614,1544,988,886,1558,831,629,313,134,280,136,84,74,1162,806,4867,24656
31903,Gympie - Cooloola,111,306,179,309,634,1979,1328,2188,1802,1811,1784,1183,1080,1814,986,704,389,146,293,156,92,60,1242,626,3517,24721
31904,Hervey Bay,134,409,220,373,730,2255,1701,2849,2349,2459,2166,1381,1235,2107,1297,902,477,247,422,233,135,73,1343,821,3475,29799
31905,Maryborough,87,267,164,329,669,2088,1192,2172,1853,1755,1617,951,900,1441,829,560,290,146,223,82,59,58,1023,663,3434,22859
39797,Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,89,98
40101,Adelaide City,32,621,168,313,419,553,595,470,659,926,820,715,653,1315,553,560,301,132,582,213,259,130,357,198,3238,14766
40102,Adelaide Hills,59,205,148,260,452,1399,1100,1611,1756,1927,2062,1593,1586,3425,2404,2057,1267,678,1162,816,671,282,1900,348,3042,32200
40103,Burnside,50,268,116,222,297,716,752,802,915,1098,1136,855,904,1759,1149,1020,683,445,1175,900,981,486,861,215,1797,19630
40104,Campbelltown (SA),66,285,139,293,518,1493,1070,1345,1350,1582,1575,1203,1144,2416,1633,1406,825,477,634,486,316,89,870,302,1841,23373
40105,Norwood - Payneham - St Peters,52,266,133,255,399,1046,841,853,955,1144,1079,965,850,1678,918,896,604,325,772,531,500,230,616,229,1999,18126
40106,Prospect - Walkerville,44,125,70,150,261,551,464,481,569,803,804,629,649,1334,812,804,564,341,677,488,443,203,513,133,1216,13137
40107,Unley,27,189,93,183,303,770,685,726,824,1066,981,784,797,1614,967,919,687,356,977,724,813,336,656,174,1701,17360
40201,Gawler - Two Wells,43,148,72,155,312,950,742,1027,987,1104,1127,832,820,1691,1137,754,476,245,289,191,116,22,863,270,1300,15666
40202,Playford,125,393,203,559,1181,2666,2053,2846,3192,3264,3135,2236,2033,3660,2218,1363,737,355,349,237,132,85,1941,880,4088,39926
40203,Port Adelaide - East,108,360,189,474,849,1907,1272,1742,1856,2081,2309,1859,1744,3612,2225,1747,900,547,599,390,246,52,1268,409,2798,31537
40204,Salisbury,173,653,281,704,1419,3613,2477,3916,4275,4725,4642,3502,3059,6043,3437,2307,1253,687,709,465,244,85,2461,989,4266,56383
40205,Tea Tree Gully,90,380,180,363,743,2254,1574,2365,2490,2990,2974,2202,2151,4414,3167,2456,1490,788,918,609,386,85,1602,484,2216,39366
40301,Holdfast Bay,28,162,96,193,339,910,867,957,1049,1188,1161,875,762,1510,927,887,576,313,729,476,467,180,670,270,2298,17881
40302,Marion,99,435,301,610,1142,2694,1869,2384,2486,2913,2991,2271,2200,4521,3055,2470,1506,807,915,627,388,85,1791,575,3267,42391
40303,Mitcham,61,234,151,256,391,1205,1007,1227,1391,1599,1688,1267,1246,2471,1825,1816,1263,716,1232,1057,869,306,1269,283,1860,26692
40304,Onkaparinga,185,612,344,844,1683,4781,3623,5200,5380,5848,5778,4209,4065,7711,5101,3591,2001,955,1234,810,428,147,3440,1095,6903,75976
40401,Charles Sturt,161,562,306,708,1371,3487,2141,2977,3175,3561,3558,2762,2576,5210,3528,2897,1842,1044,1384,1023,731,215,2105,825,4920,53063
40402,Port Adelaide - West,82,316,165,439,910,2076,1198,1695,1705,1968,1889,1464,1368,2656,1735,1300,710,361,513,326,197,40,1083,473,2654,27315
40403,West Torrens,84,317,170,391,709,1762,1356,1568,1672,2033,2041,1549,1499,2960,2014,1630,1068,554,841,529,411,106,1135,368,2920,29701
40501,Barossa,60,151,80,167,273,939,700,1070,1050,1166,1175,864,853,1657,1045,812,471,248,286,206,116,55,850,253,2003,16561
40502,Lower North,52,114,74,149,308,962,541,855,793,788,815,474,497,861,485,341,168,78,154,70,44,51,581,250,2855,12352
40503,Mid North,59,131,101,248,463,1365,703,1075,984,894,909,598,532,943,566,402,231,103,161,75,47,30,677,427,2757,14471
40504,Yorke Peninsula,55,170,125,231,421,1296,708,1355,1029,992,989,555,524,905,477,334,158,90,167,68,53,49,645,444,7716,19559
40601,Eyre Peninsula and South West,112,291,184,519,877,2081,1218,1833,1831,1856,1872,1266,1238,2273,1388,1085,585,272,463,224,164,81,1487,825,6665,30684
40602,Outback - North and East,46,122,72,200,338,799,434,720,644,734,708,604,533,1050,535,557,277,148,317,183,103,58,732,544,4079,14523
40701,Fleurieu - Kangaroo Island,102,270,210,365,691,2155,1716,2537,2314,2273,2085,1240,1202,1841,1066,761,385,210,405,208,145,93,1260,499,10240,34285
40702,Limestone Coast,139,278,187,407,777,2121,1431,2129,2106,2096,2071,1538,1563,2868,1615,1175,586,263,508,212,204,150,1365,723,6822,33328
40703,Murray and Mallee,152,342,252,487,1008,2864,1819,2807,2521,2565,2548,1580,1499,2590,1433,939,442,222,334,211,143,122,1476,1002,8775,38121
49797,Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
50101,Augusta - Margaret River - Busselton,61,250,157,310,495,1259,1056,1500,1363,1680,1612,1128,1097,2229,1458,1160,672,309,659,382,269,140,2081,479,8370,30190
50102,Bunbury,148,459,243,556,1073,2696,1825,2789,2513,2800,2731,2118,2188,4423,2819,2523,1349,692,1225,723,462,166,3431,814,6625,47384
50103,Manjimup,49,131,116,178,267,783,491,783,749,755,688,454,480,881,550,436,223,86,228,98,66,25,752,242,2982,12487
50201,Mandurah,202,636,310,647,1190,3212,2517,3547,3047,3045,2726,1895,1865,3804,2281,2123,1154,600,1261,739,457,171,3898,966,9654,51949
50301,Cottesloe - Claremont,67,396,222,280,440,890,824,828,977,1191,1185,936,1006,2001,1121,1355,870,573,2623,1947,2410,1576,1712,312,3555,29289
50302,Perth City,139,786,273,673,1220,1949,1734,1746,2081,2831,2984,2667,2548,5597,2660,3153,1872,1021,3890,2166,2314,811,2500,826,9657,58109
50401,Bayswater - Bassendean,116,487,225,443,865,2090,1421,1919,1953,2258,2353,1843,1829,3850,2360,2332,1466,746,1445,887,682,145,2103,508,4628,38951
50402,Mundaring,48,177,79,223,304,885,562,841,808,983,996,689,773,1587,1127,1067,642,361,657,470,321,96,1474,276,1615,17044
50403,Swan,170,597,291,525,922,2063,1658,2497,2665,3549,3767,3156,3081,6662,4431,3419,2069,1117,1503,1167,668,188,4426,1053,5185,56828
50501,Joondalup,155,633,350,541,928,2377,1864,2710,2759,3365,3368,2750,2703,6050,4549,4620,3068,1774,3316,2643,1859,456,4606,773,4234,62432
50502,Stirling,282,1167,554,1224,1988,4928,3458,4232,4540,5444,5598,4560,4286,8946,5127,5198,3305,1820,4119,2975,2383,815,5027,1237,10153,93373
50503,Wanneroo,222,805,317,679,1217,2988,2480,3573,3819,4464,4920,4154,4094,8773,6186,5113,3020,1628,2413,1732,1011,239,6458,1098,6413,77820
50601,Armadale,104,370,149,349,635,1550,1236,1711,1844,2307,2408,2033,1989,4016,2653,2287,1248,638,1024,647,380,98,2551,541,3534,36306
50602,Belmont - Victoria Park,125,475,189,436,877,1696,1190,1424,1699,2090,2242,1927,1699,3811,2049,2013,1277,659,1368,825,611,147,2027,459,5309,36629
50603,Canning,105,557,272,474,771,1823,1377,1760,1879,2320,2373,1936,1840,3920,2630,2390,1425,840,1380,990,703,192,2548,456,3864,38811
50604,Gosnells,170,596,228,500,946,2221,1714,2561,2600,3157,3241,2634,2511,5122,3332,2657,1487,855,1139,822,479,100,3175,671,4192,47117
50605,Kalamunda,72,259,151,225,397,1009,809,1140,1121,1445,1449,1107,1107,2424,1698,1498,957,485,841,611,429,132,1712,381,1893,23347
50606,Serpentine - Jarrahdale,23,89,45,77,117,273,252,442,423,567,659,601,668,1412,982,805,432,228,367,324,162,63,1134,142,967,11259
50607,South Perth,70,326,141,259,387,835,782,730,839,1043,1100,952,884,1853,990,1106,657,396,1285,858,856,325,1028,246,2952,20881
50701,Cockburn,123,507,240,487,842,2030,1391,2022,2119,2602,2702,2404,2319,5235,3576,3331,2101,1106,1777,1321,847,182,3223,597,4365,47441
50702,Fremantle,63,226,119,303,477,975,645,787,796,923,951,738,786,1630,893,1077,651,395,1148,709,631,242,1127,316,2711,19322
50703,Kwinana,58,136,73,184,344,753,619,801,914,1084,1151,1076,990,1958,1286,1030,586,290,361,225,135,32,1445,261,1836,17628
50704,Melville,103,584,340,505,757,1988,1490,1852,1903,2254,2272,1805,1780,3829,2521,2771,1792,1070,2710,2017,1774,667,2455,503,4106,43851
50705,Rockingham,146,561,247,534,1013,2522,2166,2827,2812,3121,3146,2810,2635,5575,3567,3235,1897,971,1560,1114,535,133,4893,820,6067,54910
50901,Albany,109,286,233,400,664,1791,1355,1852,1734,1950,1805,1305,1257,2386,1483,1117,555,266,549,293,191,150,1743,630,6401,30508
50902,Wheat Belt - North,110,292,167,347,567,1675,992,1576,1480,1525,1514,1083,1105,2116,1218,1029,548,239,567,304,177,134,1943,664,9235,30601
50903,Wheat Belt - South,41,94,64,136,184,574,337,506,501,593,531,403,407,762,406,362,191,96,201,80,70,60,651,263,2437,9940
51001,Kimberley,46,239,127,298,423,639,482,811,852,1125,1112,802,822,1645,979,956,527,269,601,321,280,134,1121,831,3629,19061
51002,East Pilbara,23,79,24,84,115,120,109,208,214,296,348,376,420,1060,498,789,458,215,706,389,337,91,581,447,3555,11561
51003,West Pilbara,21,87,39,67,84,150,130,234,267,373,386,380,514,1285,602,998,575,351,1019,608,461,116,741,462,3813,13786
51101,Esperance,30,74,50,98,164,417,258,360,347,423,410,307,328,707,375,367,154,80,196,101,58,48,558,204,2135,8259
51102,Gascoyne,31,103,54,88,130,327,232,506,463,550,506,285,372,635,387,332,191,96,199,108,95,76,385,427,1299,7875
51103,Goldfields,46,139,70,225,238,535,334,488,535,625,659,728,733,1750,923,1117,621,392,752,474,327,90,1027,623,4289,17755
51104,Mid West,120,307,149,376,625,1429,1009,1509,1379,1450,1463,1134,1078,2243,1315,1197,661,312,601,302,221,112,1799,744,5998,27538
59797,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,158,170
60101,Brighton,32,57,26,108,190,524,351,586,520,637,600,432,419,777,505,308,183,104,111,70,48,20,360,173,627,7760
60102,Hobart - North East,53,194,104,233,489,1458,1090,1435,1530,1807,1786,1435,1295,2603,1678,1424,891,503,619,439,324,104,1088,334,1962,24873
60103,Hobart - North West,79,202,110,367,703,2065,1328,1669,1756,1937,1926,1424,1262,2422,1516,1038,558,329,303,171,102,45,1116,523,2188,25146
60104,Hobart - South and West,35,139,63,124,227,746,635,818,830,1055,1059,860,816,1570,1155,885,583,305,451,305,206,63,736,167,1054,14890
60105,Hobart Inner,55,282,148,278,447,1068,982,1060,1211,1459,1606,1260,1239,2453,1441,1386,986,528,1096,698,634,252,1134,257,2962,24913
60106,Sorell - Dodges Ferry,24,68,38,67,185,570,352,548,533,591,639,481,422,814,542,354,190,104,125,67,31,20,385,149,1621,8928
60201,Launceston,114,338,216,529,1001,2707,2029,2686,2708,2968,2930,2048,1839,3654,2155,1705,968,472,767,481,321,157,1602,642,3689,38736
60202,Meander Valley - West Tamar,34,90,75,126,296,903,554,909,836,762,767,529,557,927,572,385,203,105,131,84,49,37,538,227,1700,11410
60203,North East,76,192,148,288,594,1651,1046,1604,1437,1374,1286,907,820,1457,834,575,297,133,240,133,78,73,878,427,4855,21410
60301,Central Highlands (Tas.),27,43,27,57,152,479,200,394,382,385,381,280,262,463,321,212,87,55,87,37,24,14,297,120,2396,7181
60302,Huon - Bruny Island,35,97,68,132,256,736,452,741,688,752,689,506,471,808,498,343,208,75,142,83,57,34,501,185,2621,11165
60303,South East Coast,19,42,47,69,125,347,262,387,327,301,253,176,171,260,153,91,42,13,58,29,16,20,227,104,3858,7381
60401,Burnie - Ulverstone,71,184,135,354,718,2076,1343,1969,1591,1664,1610,1121,1073,1925,1124,812,442,209,311,181,110,74,1176,538,2484,23303
60402,Devonport,62,222,127,299,592,1759,1127,1833,1658,1601,1589,1166,1060,1846,1113,780,442,235,293,169,99,44,1005,497,2527,22145
60403,West Coast,47,71,58,128,256,678,402,599,541,597,542,438,395,745,427,294,121,63,145,48,47,34,441,201,2733,10052
69797,Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
70101,Darwin City,24,90,35,105,211,298,212,304,396,567,742,666,718,1687,840,871,546,309,709,417,424,132,906,187,2290,13687
70102,Darwin Suburbs,57,206,73,183,419,678,537,736,864,1041,1162,1029,1051,2394,1536,1400,1015,624,894,592,509,151,1616,426,2517,21730
70103,Litchfield,34,80,43,69,100,205,169,265,331,414,430,333,346,704,532,536,428,233,371,275,212,69,730,378,1437,8742
70104,Palmerston,46,96,35,94,280,372,271,364,433,708,744,727,737,1741,1189,1036,717,394,538,322,217,43,1217,157,2058,14527
70201,Alice Springs,48,131,81,203,226,515,391,607,722,940,986,825,707,1545,914,910,523,300,548,301,264,89,941,622,2871,16202
70202,Barkly,4,28,13,58,45,93,68,128,146,169,147,128,116,216,117,95,45,29,42,25,23,9,140,147,606,2620
70203,Daly - Tiwi - West Arnhem,17,66,129,191,132,331,192,351,339,405,395,264,294,518,239,215,132,51,115,70,50,23,391,409,1853,7175
70204,East Arnhem,0,6,38,53,40,81,56,101,127,171,176,171,183,328,190,203,128,57,124,56,50,7,272,120,859,3591
70205,Katherine,29,74,57,144,143,313,209,379,409,500,495,365,345,740,444,411,240,100,222,108,102,45,398,397,1540,8219
79797,Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,74
80101,Belconnen,48,352,155,303,558,1258,1018,1510,1670,2169,2659,2483,2420,5159,3326,3213,2511,1438,2357,1461,1421,338,1607,337,3463,43232
80103,Canberra East,0,9,0,6,26,47,53,33,31,49,45,21,29,41,26,30,9,10,10,11,11,9,17,20,237,778
80104,Gungahlin,41,226,84,174,255,594,524,748,959,1256,1603,1701,1632,4160,2652,2792,2186,1304,2114,1488,1425,329,1367,208,2130,31955
80105,North Canberra,37,248,115,277,419,785,555,617,746,1091,1385,1445,1442,3431,1572,1862,1265,820,2061,1030,1328,416,1005,257,3840,28050
80106,South Canberra,15,100,46,78,163,338,226,269,336,456,674,757,756,1933,772,1040,636,387,1556,759,1085,578,521,141,2316,15941
80107,Tuggeranong,53,208,109,229,441,1195,789,1163,1299,1774,2028,1978,1884,4157,2830,2958,2150,1284,1964,1414,1148,272,1419,298,2280,35323
80108,Weston Creek,17,69,34,64,136,345,268,346,380,467,550,460,438,1037,612,662,546,343,771,463,558,140,401,107,733,9951
80109,Woden Valley,18,128,77,92,205,476,388,482,602,792,941,879,841,1920,968,1095,794,540,1256,788,1019,374,645,163,1613,17083
80110,Molonglo,4,18,11,15,39,45,40,68,100,146,241,248,259,604,372,413,318,199,358,244,234,47,150,28,399,4602
80111,Uriarra - Namadgi,0,0,0,0,6,9,3,0,6,5,12,7,3,17,21,16,13,8,19,11,14,4,15,6,35,231
89797,Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90101,Christmas Island,7,6,8,3,9,16,7,8,13,29,30,32,34,57,33,44,18,15,25,15,12,0,37,6,174,623
