SA4_CODE_2021,SA4_NAME_2021,Negative_income,Nil_income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)",Partial_income_stated,All_incomes_not_stated,Not_applicable,Total
208,Melbourne - Inner South,525,2824,1223,1842,2977,7309,5649,6929,7692,9444,9664,8117,7868,16870,10664,11289,7426,4496,11536,8560,8953,3759,6465,2664,21384,186129
209,Melbourne - North East,836,2911,1212,2191,3644,9161,6256,10164,10382,12498,13562,11446,10970,23130,15918,13803,8909,4882,7255,5764,4221,1225,8196,3257,19710,211492
210,Melbourne - North West,713,2261,871,1655,2716,7057,4827,7996,8283,9772,10434,8683,8238,17107,11631,9699,6259,3392,4865,3438,2505,696,6125,2721,15649,157592
211,Melbourne - Outer East,587,2711,1249,1910,3266,9433,6848,9937,10563,12483,13070,10356,10152,21947,16063,13931,8981,5092,7607,5848,4121,1193,8074,3051,16111,204581
212,Melbourne - South East,1151,5000,1853,3067,5030,13150,9321,15037,16451,19601,21361,17245,17184,35519,24655,19145,11780,6640,8621,6726,4630,1388,13333,4846,28764,311503
213,Melbourne - West,1090,4612,1574,3057,5494,12381,9078,14645,15695,18663,20984,17527,16732,35588,23536,19887,12470,7224,10323,7391,5563,1333,12580,4896,34340,316667
214,Mornington Peninsula,501,1603,822,1401,2506,7527,5772,7487,7660,8903,8714,6550,6414,12998,8850,7221,4378,2254,4134,2846,2166,951,5186,2873,32760,152492
215,North West,324,773,470,971,1862,5286,3293,4823,4858,5129,4888,3491,3380,6260,3699,2538,1396,672,1157,590,388,295,2880,2258,12217,73894
216,Shepparton,284,678,400,753,1534,4119,2807,4306,4038,4218,4209,2975,2870,5373,3339,2326,1271,677,987,592,391,225,2475,1799,9002,61650
217,Warrnambool and South West,268,607,426,788,1452,3981,2775,3899,4045,4189,4137,2908,2915,5340,3278,2354,1261,617,1127,637,461,314,2402,1592,11648,63407
297,Migratory - Offshore - Shipping (Vic.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,49
301,Brisbane - East,262,991,469,927,1734,5020,3459,5117,4944,5806,5765,4500,4588,10015,7253,6385,4224,2317,3583,2805,2166,649,4311,1476,8036,96813
302,Brisbane - North,215,900,459,920,1713,4358,3484,4110,4717,5590,5985,4889,4832,10376,7033,6533,4275,2375,3943,2920,2204,520,3820,1282,7369,94804
303,Brisbane - South,347,1951,838,1478,2457,5477,4411,5870,6756,8315,9037,7572,7436,16202,10655,9671,6679,3805,6216,4636,3960,1290,6392,1569,11957,144979
304,Brisbane - West,150,870,404,688,907,2250,2003,2493,2869,3803,3859,3318,3342,7272,4952,5170,3663,2162,4828,3588,3239,1165,3372,629,5127,72117
305,Brisbane Inner City,264,2152,746,1331,2343,3680,3782,4276,5496,7587,8158,7069,6895,15589,7451,8083,5218,2969,9151,5640,6367,2800,5631,1501,21393,145590
306,Cairns,450,1250,723,1342,2534,5901,4800,6632,7073,7733,7772,5701,5592,10402,6238,4947,2864,1440,2311,1315,974,426,6254,2858,18410,115935
307,Darling Downs - Maranoa,341,645,408,694,1269,3803,2520,4113,3757,3931,3838,2781,2700,4848,2782,2067,1084,499,978,473,318,257,3353,1615,11907,60978
308,Central Queensland,411,1092,567,1145,2008,5179,3690,5510,5230,5835,5775,4453,4455,9620,5727,5262,3047,1573,2938,1761,1096,403,6765,2534,19187,105261
309,Gold Coast,882,3661,1550,2453,4598,11757,10249,13859,14903,17571,18334,13848,13828,27880,17936,14560,8629,4764,8031,5485,4015,1690,12815,4689,39135,277114
310,Ipswich,468,1400,613,1307,2463,6639,5399,7774,8531,9708,10207,8208,7761,15466,9826,7541,4398,2301,2877,1920,1114,335,6789,2280,14275,139620
311,Logan - Beaudesert,449,1417,613,1191,2253,5704,5414,7693,8221,9364,9885,7666,7187,14313,9511,6769,4164,2346,2419,1866,1131,337,6497,2330,13815,132556
312,Mackay - Isaac - Whitsunday,284,835,419,785,1292,3242,2535,3637,3572,4048,4106,3286,3525,7563,4668,4522,2582,1381,2636,1630,1110,424,6069,1932,15274,81359
313,Moreton Bay - North,383,1138,636,1104,2427,6740,5743,7756,7567,8188,7882,5695,5374,10305,6545,4926,2883,1575,2098,1397,869,302,5323,2202,11612,110681
314,Moreton Bay - South,159,627,321,496,943,2762,2382,3569,3979,5055,5505,4588,4649,9847,6937,5879,3679,2129,3009,2183,1539,378,3920,929,5198,80668
315,Queensland - Outback,208,456,239,591,846,1860,1184,1918,1957,2280,2354,1695,1691,3421,1831,1767,1002,515,1000,508,425,232,2345,2071,9166,41551
316,Sunshine Coast,531,1809,1077,1696,3030,8840,7127,10237,10330,11604,12144,8544,8778,16938,10900,8615,5061,2789,4973,3191,2294,1065,9061,3129,23952,177722
317,Toowoomba,215,695,373,692,1315,3803,3044,4243,4262,4748,4860,3737,3540,6982,4278,3241,1916,1011,1579,948,636,271,3434,1155,7139,68130
318,Townsville,341,1067,574,1150,2017,4755,3848,5451,5610,6479,6636,5259,5181,9983,6618,5229,3050,1720,2409,1406,972,360,6242,2040,15855,104239
319,Wide Bay,610,1790,1079,1909,3837,11703,7770,12948,11061,10810,10066,6520,5984,10350,5947,4237,2249,1062,1864,982,580,408,6772,4143,20704,145391
397,Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,89,98
401,Adelaide - Central and Hills,327,1955,867,1677,2658,6527,5504,6291,7026,8545,8464,6730,6579,13550,8441,7665,4925,2765,5981,4160,3991,1766,5774,1599,14837,138588
402,Adelaide - North,541,1929,934,2247,4506,11393,8108,11893,12802,14162,14181,10626,9802,19423,12188,8623,4844,2624,2866,1894,1117,323,8132,3036,14673,182873
403,Adelaide - South,379,1436,891,1897,3552,9590,7375,9763,10300,11546,11614,8612,8272,16205,10905,8765,5349,2791,4112,2978,2153,719,7168,2218,14336,162940
404,Adelaide - West,324,1196,639,1532,3001,7330,4689,6239,6547,7566,7482,5779,5440,10822,7280,5837,3621,1961,2736,1885,1335,358,4324,1665,10493,110084
405,Barossa - Yorke - Mid North,228,566,378,800,1468,4562,2646,4352,3857,3842,3887,2494,2403,4365,2567,1892,1025,516,762,417,268,184,2755,1376,15334,62939
406,South Australia - Outback,158,409,250,718,1216,2874,1653,2554,2471,2592,2585,1871,1774,3321,1922,1645,858,419,782,404,262,141,2219,1372,10742,45212
407,South Australia - South East,391,886,651,1257,2475,7141,4967,7474,6934,6930,6704,4358,4259,7299,4121,2877,1407,697,1251,632,493,363,4108,2223,25835,105730
